Product,Predicted_Sales,Restock_Quantity
Royal Bullet Chilli,39,47
Merger Fungicide,39,47
Creative Farmer Orange Tree Fruit Seeds,36,43
TrustBasket Coconut Plant Fertilizer,36,43
Moong Seeds,36,43
"Wnature Organic Roasted, Coffee Beans",35,42
Apoorva Watermelon,35,42
Banana Bunch Cover,35,42
organic kala namk rice,35,42
Potassium bicarbonate,35,42
Urban Gardeners Ber seeds- Apple,34,41
Taiyo Mango Protection,34,41
IFFCO NANO DAP,33,40
NPK 14-35-14 for Plants,32,38
Magnesium Sulphate,32,38
Organic NPK 10-26-26,32,38
Potassium Sulphate,32,38
Zotal-Ca (Chelated calcium),32,38
IFFCO NANO UREA,31,37
Mono Potassium Phosphate,30,36
