Product,Predicted_Sales,Restock_Quantity
Royal Bullet Chilli,40,48
organic kala namk rice,40,48
Potassium Sulphate,38,46
Apoorva Watermelon,37,44
Creative Farmer Orange Tree Fruit Seeds,37,44
Merger Fungicide,37,44
Potassium bicarbonate,36,43
Zotal-Ca (Chelated calcium),36,43
TrustBasket Coconut Plant Fertilizer,35,42
IFFCO NANO UREA,35,42
Moong Seeds,35,42
Banana Bunch Cover,33,40
Mono Potassium Phosphate,33,40
Urban Gardeners Ber seeds- Apple,33,40
"Wnature Organic Roasted, Coffee Beans",32,38
IFFCO NANO DAP,31,37
NPK 14-35-14 for Plants,31,37
Organic NPK 10-26-26,31,37
Taiyo Mango Protection,31,37
Magnesium Sulphate,30,36
