Product,Predicted_Sales,Restock_Quantity
Banana Bunch Cover,40,48
IFFCO NANO UREA,36,43
TrustBasket Coconut Plant Fertilizer,36,43
Creative Farmer Orange Tree Fruit Seeds,35,42
Zotal-Ca (Chelated calcium),35,42
Mono Potassium Phosphate,35,42
Moong Seeds,35,42
Apoorva Watermelon,34,41
Merger Fungicide,34,41
Royal Bullet Chilli,34,41
Taiyo Mango Protection,33,40
Potassium bicarbonate,33,40
organic kala namk rice,33,40
IFFCO NANO DAP,32,38
Potassium Sulphate,32,38
Magnesium Sulphate,32,38
"Wnature Organic Roasted, Coffee Beans",31,37
Urban Gardeners Ber seeds- Apple,31,37
Organic NPK 10-26-26,30,36
NPK 14-35-14 for Plants,30,36
