Product,Predicted_Sales,Restock_Quantity
Potassium bicarbonate,37,44
Taiyo Mango Protection,37,44
Merger Fungicide,37,44
Royal Bullet Chilli,35,42
Urban Gardeners Ber seeds- Apple,34,41
Moong Seeds,33,40
IFFCO NANO DAP,32,38
Banana Bunch Cover,32,38
Zotal-Ca (Chelated calcium),32,38
"Wnature Organic Roasted, Coffee Beans",32,38
NPK 14-35-14 for Plants,32,38
Magnesium Sulphate,32,38
organic kala namk rice,32,38
Creative Farmer Orange Tree Fruit Seeds,31,37
TrustBasket Coconut Plant Fertilizer,31,37
Apoorva Watermelon,30,36
IFFCO NANO UREA,30,36
Mono Potassium Phosphate,30,36
Organic NPK 10-26-26,29,35
Potassium Sulphate,27,32
